,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
4563,FRA,France,2020-02-21,12,0,1,0,0.184,0.0,0.015,0.0,,,,,
4564,FRA,France,2020-02-22,12,0,1,0,0.184,0.0,0.015,0.0,,,,,
4565,FRA,France,2020-02-23,12,0,1,0,0.184,0.0,0.015,0.0,,,,,
4566,FRA,France,2020-02-24,12,0,1,0,0.184,0.0,0.015,0.0,31.0,,0.0,,tests performed
4567,FRA,France,2020-02-25,12,0,1,0,0.184,0.0,0.015,0.0,146.0,115.0,0.002,0.002,tests performed
4568,FRA,France,2020-02-26,14,2,1,0,0.214,0.031,0.015,0.0,412.0,266.0,0.006,0.004,tests performed
4569,FRA,France,2020-02-27,17,3,2,1,0.26,0.046,0.031,0.015,851.0,439.0,0.013000000000000001,0.006999999999999999,tests performed
4570,FRA,France,2020-02-28,38,21,2,0,0.5820000000000001,0.322,0.031,0.0,1316.0,465.0,0.02,0.006999999999999999,tests performed
4571,FRA,France,2020-02-29,57,19,2,0,0.873,0.29100000000000004,0.031,0.0,1902.0,586.0,0.028999999999999998,0.009000000000000001,tests performed
4572,FRA,France,2020-03-01,100,43,2,0,1.5319999999999998,0.659,0.031,0.0,2451.0,549.0,0.038,0.008,tests performed
4573,FRA,France,2020-03-02,130,30,2,0,1.992,0.46,0.031,0.0,2887.0,436.0,0.044000000000000004,0.006999999999999999,tests performed
4574,FRA,France,2020-03-03,178,48,3,1,2.727,0.735,0.046,0.015,3594.0,707.0,0.055,0.011000000000000001,tests performed
4575,FRA,France,2020-03-04,212,34,4,1,3.248,0.521,0.061,0.015,4803.0,1209.0,0.07400000000000001,0.019,tests performed
4576,FRA,France,2020-03-05,285,73,4,0,4.3660000000000005,1.1179999999999999,0.061,0.0,6046.0,1243.0,0.09300000000000001,0.019,tests performed
4577,FRA,France,2020-03-06,423,138,7,3,6.48,2.114,0.107,0.046,7695.0,1649.0,0.11800000000000001,0.025,tests performed
4578,FRA,France,2020-03-07,613,190,9,2,9.391,2.911,0.138,0.031,9495.0,1800.0,0.145,0.027999999999999997,tests performed
